species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Torgersen,45,18,210,3588,MALE
Chinstrap,Torgersen,48,15,210,3140,FEMALE
Adelie,Torgersen,52,18,198,4600,FEMALE
Adelie,Dream,45,19,214,6002,MALE
Adelie,Torgersen,44,14,208,4000,MALE
Gentoo,Biscoe,41,18,192,4230,FEMALE
Adelie,Biscoe,56,13,211,5051,FEMALE
Chinstrap,Biscoe,39,17,197,3608,MALE
Adelie,Dream,51,16,191,5762,FEMALE
Gentoo,Dream,35,17,221,3318,FEMALE
Gentoo,Dream,34,17,172,3935,FEMALE
Adelie,Biscoe,43,16,207,5920,MALE
Adelie,Biscoe,38,20,195,4918,MALE
Adelie,Biscoe,50,17,197,3416,MALE
Gentoo,Dream,58,17,174,2837,FEMALE
Adelie,Dream,53,21,205,3311,MALE
Gentoo,Torgersen,41,18,195,5556,MALE
Chinstrap,Dream,40,20,214,3864,MALE
Chinstrap,Dream,44,19,219,4918,FEMALE
Adelie,Dream,50,15,207,3481,MALE
Gentoo,Dream,53,14,174,4068,MALE
Gentoo,Torgersen,40,14,217,5280,MALE
Gentoo,Biscoe,49,15,207,3976,FEMALE
Chinstrap,Biscoe,45,18,221,2864,FEMALE
Chinstrap,Dream,33,21,193,3279,MALE
Adelie,Dream,45,18,207,3777,FEMALE
Adelie,Torgersen,49,17,199,4231,FEMALE
Chinstrap,Torgersen,55,14,218,5299,FEMALE
Chinstrap,Dream,45,19,191,4208,MALE
Gentoo,Biscoe,41,20,215,4109,FEMALE
Gentoo,Torgersen,33,20,174,4053,FEMALE
Adelie,Biscoe,51,15,191,5814,FEMALE
Gentoo,Torgersen,55,21,173,3743,FEMALE
Gentoo,Biscoe,37,16,177,3212,MALE
Adelie,Biscoe,32,13,226,2700,MALE
Adelie,Biscoe,39,18,182,3246,MALE
Chinstrap,Dream,55,19,228,5389,MALE
Gentoo,Biscoe,48,14,213,4485,MALE
Adelie,Torgersen,36,13,201,4646,FEMALE
Adelie,Dream,56,17,202,6189,FEMALE
Chinstrap,Dream,32,13,201,4646,FEMALE
Adelie,Biscoe,51,19,222,5128,FEMALE
Adelie,Torgersen,47,14,195,2991,FEMALE
Gentoo,Dream,46,21,201,4339,FEMALE
Gentoo,Biscoe,43,20,180,3239,MALE
Adelie,Torgersen,49,18,214,4681,FEMALE
Gentoo,Biscoe,58,14,200,5022,FEMALE
Adelie,Torgersen,51,21,198,6042,MALE
Adelie,Torgersen,58,15,185,4805,MALE
Gentoo,Torgersen,59,19,227,5734,MALE
Chinstrap,Biscoe,52,16,205,3034,FEMALE
Adelie,Biscoe,53,13,192,4481,FEMALE
Chinstrap,Biscoe,55,17,197,5150,MALE
Gentoo,Dream,54,15,203,3614,FEMALE
Gentoo,Dream,49,16,229,4384,FEMALE
Chinstrap,Dream,56,16,209,2959,MALE
Adelie,Torgersen,52,17,193,3834,MALE
Chinstrap,Torgersen,48,14,218,5471,MALE
Adelie,Torgersen,39,20,201,5523,FEMALE
Chinstrap,Torgersen,47,15,179,4760,FEMALE
Adelie,Biscoe,34,15,223,4119,MALE
Adelie,Dream,36,13,207,4712,MALE
Gentoo,Torgersen,53,19,180,3251,MALE
Gentoo,Biscoe,50,14,209,5504,FEMALE
Adelie,Biscoe,55,20,228,5688,MALE
Chinstrap,Torgersen,41,20,224,4856,MALE
Chinstrap,Dream,56,19,189,4190,MALE
Chinstrap,Dream,42,17,177,3626,MALE
Gentoo,Torgersen,53,18,196,5006,MALE
Chinstrap,Dream,43,21,217,5071,MALE
Adelie,Torgersen,45,21,192,2896,MALE
Chinstrap,Dream,56,18,208,5504,MALE
Chinstrap,Torgersen,44,13,198,4833,FEMALE
Gentoo,Biscoe,55,19,201,5151,MALE
Gentoo,Biscoe,49,14,227,3087,FEMALE
Gentoo,Torgersen,40,18,227,4587,MALE
Adelie,Torgersen,49,15,216,5907,MALE
Adelie,Torgersen,37,13,216,4379,FEMALE
Gentoo,Torgersen,56,14,172,4077,MALE
Gentoo,Torgersen,49,18,183,3462,FEMALE
Gentoo,Dream,32,16,197,4513,FEMALE
Gentoo,Torgersen,55,20,193,4152,MALE
Chinstrap,Biscoe,35,16,193,5297,FEMALE
Adelie,Biscoe,56,14,213,4425,FEMALE
Gentoo,Dream,35,16,185,3340,MALE
Chinstrap,Torgersen,43,20,189,3260,FEMALE
Gentoo,Torgersen,49,14,175,5637,MALE
Gentoo,Biscoe,35,20,190,5325,MALE
Chinstrap,Biscoe,48,18,199,5789,FEMALE
Gentoo,Torgersen,52,18,195,6060,MALE
Adelie,Torgersen,57,20,211,4855,MALE
Gentoo,Dream,42,18,209,4283,MALE
Gentoo,Dream,44,13,228,6133,FEMALE
Chinstrap,Biscoe,41,17,229,4505,MALE
Adelie,Torgersen,55,16,225,5287,MALE
Chinstrap,Dream,53,17,202,4926,MALE
Chinstrap,Biscoe,56,14,218,2753,FEMALE
Chinstrap,Dream,45,20,213,3609,FEMALE
Chinstrap,Torgersen,32,14,198,4852,FEMALE
Adelie,Dream,35,17,224,6135,MALE
Gentoo,Biscoe,42,21,195,3078,MALE
Gentoo,Dream,42,17,197,4453,MALE
Adelie,Biscoe,41,15,216,6111,MALE
Gentoo,Dream,45,19,208,3118,MALE
Adelie,Torgersen,39,16,194,4281,MALE
Adelie,Dream,57,17,208,4931,FEMALE
Adelie,Dream,42,15,211,4204,MALE
Adelie,Biscoe,47,13,175,6023,FEMALE
Chinstrap,Dream,49,20,217,4972,FEMALE
Gentoo,Dream,35,19,174,2892,FEMALE
Adelie,Torgersen,37,13,177,4233,MALE
Gentoo,Torgersen,55,14,208,5465,MALE
Adelie,Biscoe,33,21,183,5019,FEMALE
Adelie,Biscoe,37,19,189,4192,MALE
Chinstrap,Torgersen,48,20,185,4612,MALE
Chinstrap,Biscoe,43,19,204,6064,MALE
Chinstrap,Torgersen,34,21,185,4980,FEMALE
Chinstrap,Biscoe,38,16,227,4996,FEMALE
Adelie,Torgersen,36,20,181,4096,FEMALE
Gentoo,Torgersen,50,19,194,5647,MALE
Chinstrap,Biscoe,52,18,178,3996,MALE
Gentoo,Biscoe,58,20,225,4896,FEMALE
Gentoo,Torgersen,34,15,210,6201,FEMALE
Chinstrap,Biscoe,40,15,202,6201,MALE
Adelie,Torgersen,49,16,210,3223,FEMALE
Gentoo,Biscoe,59,14,213,4574,MALE
Chinstrap,Biscoe,42,20,223,4227,MALE
Chinstrap,Torgersen,38,20,228,4891,FEMALE
Adelie,Torgersen,55,20,201,3477,MALE
Chinstrap,Torgersen,39,19,192,6243,MALE
Gentoo,Torgersen,35,14,174,5997,FEMALE
Chinstrap,Torgersen,50,14,202,4275,MALE
Chinstrap,Dream,40,19,217,4377,FEMALE
Chinstrap,Biscoe,54,18,228,2848,MALE
Chinstrap,Dream,50,21,204,5056,MALE
Gentoo,Torgersen,55,15,190,5280,MALE
Chinstrap,Torgersen,44,19,173,3941,FEMALE
Gentoo,Dream,50,19,203,5496,MALE
Adelie,Biscoe,33,14,210,2848,MALE
Chinstrap,Torgersen,51,19,211,5133,MALE
Adelie,Torgersen,48,14,208,3954,FEMALE
Adelie,Biscoe,49,13,210,5367,FEMALE
Gentoo,Dream,49,13,218,3501,MALE
Gentoo,Torgersen,35,20,200,6252,MALE
Gentoo,Dream,59,14,218,4388,FEMALE
Chinstrap,Torgersen,45,20,226,5442,MALE
Adelie,Biscoe,38,19,217,5773,MALE
Chinstrap,Torgersen,46,20,204,3293,FEMALE
Chinstrap,Biscoe,44,15,224,3594,MALE
Gentoo,Biscoe,44,16,228,5374,MALE
Chinstrap,Dream,39,21,221,5006,MALE
Gentoo,Biscoe,35,20,194,5750,FEMALE
Chinstrap,Dream,33,14,180,3322,MALE
Adelie,Torgersen,39,20,216,4417,MALE
Adelie,Biscoe,43,14,227,5692,MALE
Adelie,Dream,36,16,190,4162,FEMALE
Adelie,Biscoe,40,14,226,3877,FEMALE
Gentoo,Torgersen,48,15,177,5419,MALE
Adelie,Biscoe,37,19,172,5617,MALE
Chinstrap,Biscoe,46,16,175,4759,MALE
Adelie,Biscoe,44,20,174,4772,FEMALE
Adelie,Biscoe,49,16,205,4922,FEMALE
Adelie,Biscoe,56,20,223,6224,MALE
Adelie,Biscoe,32,20,204,6102,MALE
Gentoo,Biscoe,48,18,187,5413,FEMALE
Adelie,Dream,40,19,189,3552,MALE
Adelie,Biscoe,47,18,224,2832,MALE
Chinstrap,Biscoe,32,14,209,5208,FEMALE
Adelie,Biscoe,40,14,205,4772,MALE
Gentoo,Dream,48,14,204,4313,MALE
Chinstrap,Biscoe,43,13,226,5180,MALE
Gentoo,Torgersen,52,14,209,5460,MALE
Chinstrap,Biscoe,45,14,209,4803,MALE
Adelie,Dream,37,18,190,5305,FEMALE
Gentoo,Torgersen,49,17,200,3740,MALE
Adelie,Dream,36,18,206,4274,FEMALE
Adelie,Dream,40,14,215,3526,FEMALE
Chinstrap,Torgersen,41,17,207,3146,FEMALE
Chinstrap,Biscoe,50,20,226,6204,FEMALE
Gentoo,Biscoe,55,21,205,3233,FEMALE
Chinstrap,Biscoe,37,16,216,3579,FEMALE
Gentoo,Dream,58,19,199,3721,MALE
Adelie,Torgersen,35,15,173,5819,FEMALE
Gentoo,Dream,58,19,227,6146,FEMALE
Chinstrap,Dream,52,15,191,4083,MALE
Chinstrap,Biscoe,42,15,188,4190,MALE
Adelie,Torgersen,48,21,189,2775,FEMALE
Gentoo,Dream,46,16,210,5831,FEMALE
Chinstrap,Biscoe,58,18,218,3391,MALE
Adelie,Biscoe,47,17,195,5413,FEMALE
Chinstrap,Torgersen,53,20,210,5551,MALE
Adelie,Dream,55,18,208,4047,MALE
Adelie,Biscoe,55,14,194,4770,MALE
Gentoo,Torgersen,38,13,212,6237,MALE
Adelie,Dream,57,20,202,3160,FEMALE
Chinstrap,Dream,53,15,216,3309,FEMALE
Chinstrap,Torgersen,47,18,197,3739,MALE
